UC Major																																																						
Microbiology, Immunology, and Molecular Genetics/B.S.		Biosc130		Biosc131		Chem120		Chem121		Bus240		Math142		Math144		Math192			Math193		Math292			Bus240		Math142		Math144		Phys120		Phys124		Phys121		Phys125		Phys130		Phys230		Phys231		Chem226		Chem227								
Middle Eastern Studies/B.A.		No Course Articulated																																																				
Molecular, Cell, and Developmental Biology/B.S.		Biosc130		Biosc131		Chem120		Chem121		Bus240		Math142		Math144		Math192			Math193		Math292			Bus240		Math142		Math144		Phys120		Phys124		Phys121		Phys125		Phys130		Phys230		Phys231		Chem226		Chem227								
Music Composition/B.A.		No Course Articulated																																																				
Music Education/B.A.		No Course Articulated																																																				
Music Performance/B.M.		No Course Articulated																																																				
Music/B.A.		No Course Articulated																																																				
Musicology/B.A.		No Course Articulated																																																				
Neuroscience/B.S.		Biosc130		Biosc131		Chem120		Chem121		Bus240		Math142		Math144		Math192			Math193		Phys120			Phys124		Phys121		Phys125		Phys130		Phys230		Phys231		Chem226		Chem227																
Nordic Studies/B.A.		No Course Articulated																																																				
Nursing-Generic/Prelicensure/B.S.		Engl122		Engl123		Engl126		Chem120		Chem121		Chem226		Biosc130		Biosc140			Biosc139		Math192			Comm120		Biosc119		Biosc146		Psych101																								
Philosophy/B.A.		Philo224		Philo122		Philo120		Philo130		Philo224		Philo225																																										
Physics/B.A.		Phys130		Phys230		Phys231		Chem120		Math192		Math193		Math292		Math194			Math294																																			
Physics/B.S.		Phys130		Phys230		Phys231		Chem120		Math192		Math292		Math194		Math294			Math193																																			
Physiological Science/B.S.		Biosc130		Biosc131		Chem120		Chem121		Bus240		Math142		Math144		Math192			Math193																																			
Political Science/B.A.		Bus240		Math142		Math144		Polsc240		Polsc250		Polsc120		Polsc121		Polsc220																																						
Portuguese/B.A.		No Course Articulated																																																				
Psychobiology/B.S.		Psych101		Biosc130		Biosc131		Chem120		Chem121		Bus240		Math142		Math144			Math192		Math193			Phys130		Phys230		Phys231		Phys120		Phys124		Phys121		Phys125																		
Psychology/B.A.		Psych101		Biosc130		Biosc101		Biosc102		Biosc140		Biosc130		Chem108		Chem120			Phys110		Phys120			Phys129		Phys130		Phys124		Philo120		Philo122		Philo130		Philo141		Philo224		Philo225		Bus240		Math142		Math144		Math181		Comsc200		Math182		Math192
